hostname,ra,dec,sy_dist,st_spectype,st_teff,st_rad
"TRAPPIST-1",346.6263919,-5.0434618,12.42988881,"M8.0 V",2566.00,0.119200
"51 Peg",344.3675399,20.7690958,15.46140000,"G5V",5758.00,1.175610
"WASP-47",331.2030920,-12.0190670,264.78000000,"G9",5565.00,1.156000
"TOI-700",97.0957165,-65.5786149,31.12650000,"M2.5 V",3459.00,0.421000
"Kepler-47",295.2978883,46.9204303,1025.02000000,,5636.00,0.936000
"TRAPPIST-1",346.6263919,-5.0434618,12.42988881,"M8.0 V",2566.00,0.119200
"Kepler-16",289.0758307,51.7572290,75.08520000,,4450.00,0.648900
"55 Cnc",133.1468373,28.3298154,12.58550000,"G8 V",5198.00,0.980000
"TOI-270",68.4160804,-51.9573937,22.47930000,"M3 V",3506.00,0.380000
"L 98-59",124.5328604,-68.3144658,10.61940000,"M3 V",3415.00,0.315500
"GJ 887",346.5027573,-35.8473489,3.28679000,"M1 V",3688.00,0.468000
"TOI-700",97.0957165,-65.5786149,31.12650000,"M2.5 V",3459.00,0.421000
"GJ 667 C",259.7510609,-34.9977651,7.24396000,"M1.5 V",3350.00,
"GJ 357",144.0074644,-21.6650634,9.44181000,"M2.5 V",3505.00,0.337000
"Kepler-20",287.6979913,42.3385782,282.56300000,,5495.00,0.963900
"Kepler-442",285.3666029,39.2800704,365.96500000,,4402.00,0.598000
"L 98-59",124.5328604,-68.3144658,10.61940000,"M3 V",3415.00,0.315500
"KOI-351",284.4334642,49.3051239,848.25400000,,6031.13,1.185000
"YZ Cet",18.1330792,-16.9962434,3.71207000,"M4.5 V",3151.00,0.157000
"Kepler-444",289.7528323,41.6318840,36.43960000,"K",5046.00,0.752000
"HD 40307",88.5172191,-60.0237289,12.93630000,"K2.5 V",4956.00,0.716684
"HD 3167",8.7401487,4.3807215,47.28990000,"K0 V",5261.00,0.880000
"TRAPPIST-1",346.6263919,-5.0434618,12.42988881,"M8.0 V",2566.00,0.119200
"K2-138",348.9490311,-10.8497391,202.58500000,"G8 V",5356.30,0.863000
"Kepler-11",297.1150949,41.9091092,646.34600000,,5663.00,1.065000
"Kepler-62",283.2125621,45.3496992,300.87400000,"K2 V",4925.00,0.640000
"TOI-700",97.0957165,-65.5786149,31.12650000,"M2.5 V",3459.00,0.421000
"Kepler-20",287.6979913,42.3385782,282.56300000,,5495.00,0.916400
"Kepler-11",297.1150949,41.9091092,646.34600000,,5663.00,1.065000
"GJ 3470",119.7735021,15.3912090,29.42140000,"M1.5",3600.00,0.547000
"Kepler-186",298.6527360,43.9549884,177.59400000,"M1",3788.00,0.472000
"AU Mic",311.2911369,-31.3424500,9.72210000,"M1 V",3540.00,0.862000
"Kepler-47",295.2978883,46.9204303,1025.02000000,,5636.00,0.936000
"Proxima Cen",217.3934657,-62.6761821,1.30119000,"M5.5 V",2900.00,0.141000
"LP 890-9",64.1309096,-28.3157909,32.42980000,"M6 V",2850.00,0.155600
"Kepler-22",289.2172051,47.8841427,194.64200000,"G5 V",5596.00,0.869000
"GJ 180",73.4600970,-17.7761940,11.94070000,"M3",3371.00,0.413049
"GJ 367",146.1214640,-45.7790165,9.41263000,"M1.0 V",3522.00,0.458000
"Kepler-20",287.6979913,42.3385782,282.56300000,,5495.00,0.916400
"WASP-47",331.2030920,-12.0190670,264.78000000,"G9",5565.00,1.156000
"HD 110067",189.8392243,20.0273377,32.15850000,"K0.0 V",5266.00,0.788000
"GJ 367",146.1214640,-45.7790165,9.41263000,"M1.0 V",3522.00,0.458000
"Kepler-138",290.3814122,43.2930645,66.86240000,"M1 V",3841.00,0.535000
"Kepler-1649",292.5029676,41.8299933,92.19130000,,3240.00,0.231700
"Kepler-296",286.5400278,49.4372614,167.00000000,"M2 V",3740.00,0.480000
"GJ 876",343.3239737,-14.2665958,4.67517000,"M2.5V",3293.74,0.300000
"GJ 357",144.0074644,-21.6650634,9.44181000,"M2.5 V",3505.00,0.337000
"AU Mic",311.2911369,-31.3424500,9.72210000,"M1 V",3665.00,0.820000
"GJ 667 C",259.7510609,-34.9977651,7.24396000,"M1.5 V",3350.00,
"YZ Cet",18.1330792,-16.9962434,3.71207000,"M4.5 V",3151.00,0.157000
"GJ 514",202.5040424,10.3725387,7.61778000,"M0.5-1.0 V",3728.00,0.500000
"WASP-121",107.6002312,-39.0972705,269.89800000,"F6 V",6628.00,1.461000
"HD 40307",88.5172191,-60.0237289,12.93630000,"K2.5 V",4956.00,0.716684
